date,cgt_count,ministry_count,mid
2023-01-19,2000000,1120000,1560000.0
2023-01-31,2800000,1270000,2035000.0
2023-02-07,2000000,757000,1378500.0
2023-02-11,2500000,963000,1731500.0
2023-02-16,1300000,440000,870000.0
2023-03-07,3500000,1280000,2390000.0
2023-03-11,1000000,368000,684000.0
2023-03-15,1700000,480000,1090000.0
2023-03-23,3500000,1089000,2294500.0
2023-03-28,2000000,740000,1370000.0
2023-04-06,2000000,570000,1285000.0
2023-04-13,1500000,380000,940000.0
2023-06-06,900000,281000,590500.0
